subject,unit_number,unit_name,topic_id,topic_name,question_count,frequency_score,recency_score,final_score,label
Computer Networks,3,Network Layer and Routing,213,Store and Forward Packet Switching,0,0.0,0.0,0.0,Low
Computer Networks,3,Network Layer and Routing,223,Admission Control,0,0.0,0.0,0.0,Low
Computer Networks,4,Internetworking and Transport Layer,233,RARP,0,0.0,0.0,0.0,Low
Computer Networks,4,Internetworking and Transport Layer,234,DHCP,0,0.0,0.0,0.0,Low
Computer Networks,4,Internetworking and Transport Layer,240,Crash Recovery,0,0.0,0.0,0.0,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,248,TCP Connection Management Modeling,0,0.0,0.0,0.0,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,250,TCP Congestion Control,0,0.0,0.0,0.0,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,251,Future of TCP,0,0.0,0.0,0.0,Low
Computer Networks,5,Internet Transport Protocols and Application Layer,260,SSH,0,0.0,0.0,0.0,Low
DBMS,3,"SQL, Constraints, and Triggers",359,SQL Queries,7,0.0565,0.0795,0.0634,High
DBMS,1,Introduction to Database Systems,343,Structure of a DBMS,6,0.0484,0.0607,0.0521,High
DBMS,2,Relational Model and Algebra,356,Relational algebra,6,0.0484,0.0586,0.0514,High
DBMS,4,Schema Refinement and Normalization,379,Fourth normal form,5,0.0403,0.0439,0.0414,High
DBMS,5,Transaction Management and Recovery,392,Locking systems with several lock modes,5,0.0403,0.0439,0.0414,High
DBMS,1,Introduction to Database Systems,338,Database System Applications,5,0.0403,0.0356,0.0389,High
DBMS,1,Introduction to Database Systems,340,Data Models,4,0.0323,0.046,0.0364,High
DBMS,1,Introduction to Database Systems,339,File Systems versus a DBMS,4,0.0323,0.0397,0.0345,High
DBMS,1,Introduction to Database Systems,347,Additional features of the ER model,4,0.0323,0.0314,0.032,High
DBMS,2,Relational Model and Algebra,357,Tuple relational calculus,4,0.0323,0.0314,0.032,High
DBMS,3,"SQL, Constraints, and Triggers",362,Nested queries,4,0.0323,0.0314,0.032,High
DBMS,3,"SQL, Constraints, and Triggers",363,Aggregation operators,4,0.0323,0.0272,0.0307,High
DBMS,4,Schema Refinement and Normalization,367,Schema refinement,4,0.0323,0.0272,0.0307,Medium
DBMS,1,Introduction to Database Systems,344,Database design and ER diagrams,4,0.0323,0.023,0.0295,Medium
DBMS,5,Transaction Management and Recovery,381,Transaction concept,3,0.0242,0.0251,0.0245,Medium
DBMS,5,Transaction Management and Recovery,408,B+ Trees,3,0.0242,0.023,0.0238,Medium
DBMS,5,Transaction Management and Recovery,393,Concurrency control by timestamps,3,0.0242,0.0188,0.0226,Medium
DBMS,5,Transaction Management and Recovery,398,Buffer management,3,0.0242,0.0188,0.0226,Medium
DBMS,2,Relational Model and Algebra,358,Domain relational calculus,3,0.0242,0.0167,0.022,Medium
DBMS,5,Transaction Management and Recovery,387,Serializability,2,0.0161,0.0314,0.0207,Medium
DBMS,5,Transaction Management and Recovery,410,Extendible Hashing,3,0.0242,0.0105,0.0201,Medium
DBMS,5,Transaction Management and Recovery,404,Primary Index,3,0.0242,0.0084,0.0194,Medium
DBMS,1,Introduction to Database Systems,341,Levels of abstraction in a DBMS,2,0.0161,0.0251,0.0188,Medium
DBMS,2,Relational Model and Algebra,349,Introduction to the Relational Model,2,0.0161,0.023,0.0182,Medium
DBMS,3,"SQL, Constraints, and Triggers",365,Complex integrity constraints in SQL,2,0.0161,0.023,0.0182,Medium
DBMS,5,Transaction Management and Recovery,394,Validation,2,0.0161,0.0209,0.0176,Medium
DBMS,4,Schema Refinement and Normalization,372,Closure of a set of functional dependencies,2,0.0161,0.0188,0.0169,Medium
DBMS,5,Transaction Management and Recovery,383,System log,2,0.0161,0.0188,0.0169,Medium
DBMS,5,Transaction Management and Recovery,405,Secondary Index,2,0.0161,0.0188,0.0169,Medium
DBMS,4,Schema Refinement and Normalization,378,Multivalued dependencies,2,0.0161,0.0146,0.0157,Medium
DBMS,4,Schema Refinement and Normalization,368,Problems caused by redundancy,2,0.0161,0.0105,0.0144,Low
DBMS,2,Relational Model and Algebra,355,Destroying/altering tables and views,2,0.0161,0.0063,0.0132,Low
DBMS,5,Transaction Management and Recovery,399,Failure with loss of non-volatile storage,2,0.0161,0.0042,0.0125,Low
DBMS,5,Transaction Management and Recovery,411,Linear Hashing,2,0.0161,0.0042,0.0125,Low
DBMS,4,Schema Refinement and Normalization,375,Second normal form,2,0.0161,0.0,0.0113,Low
DBMS,5,Transaction Management and Recovery,409,Static Hashing,1,0.0081,0.0167,0.0107,Low
DBMS,4,Schema Refinement and Normalization,374,First normal form,1,0.0081,0.0126,0.0094,Low
